N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"73,400",500,+0.69%,100,"4,381,820","5,969,783",56.19,"18,416,478",20.04,8.69,
2,SK하이닉스,"115,500","1,000",-0.86%,"5,000","840,843","728,002",49.86,"3,918,407",29.30,4.25,
3,LG화학,"808,000","9,000",-1.10%,"5,000","570,386","70,592",42.45,"309,977",75.49,1.84,
4,삼성전자우,"69,300","1,500",+2.21%,100,"570,260","822,887",83.76,"3,009,512",18.92,N/A,
5,삼성바이오로직스,"820,000","1,000",+0.12%,"2,500","542,553","66,165",9.95,"86,147",152.67,4.77,
6,셀트리온,"361,000","1,000",+0.28%,"1,000","487,342","134,998",20.94,"1,098,194",95.68,11.19,
7,NAVER,"290,000","4,000",+1.40%,100,"476,364","164,263",55.86,"502,033",57.73,10.56,
8,현대차,"190,000","1,500",-0.78%,"5,000","405,970","213,668",30.77,"1,572,645",45.40,4.32,
9,삼성SDI,"556,000","4,000",-0.71%,"5,000","382,331","68,765",43.71,"348,022",189.70,2.94,
10,카카오,"374,500","4,000",+1.08%,500,"330,722","88,310",31.82,"435,671",-415.65,-5.81,
11,기아차,"63,700",100,-0.16%,"5,000","258,216","405,363",37.73,"1,609,533",29.60,6.50,
12,삼성물산,"131,500","6,500",+5.20%,100,"245,757","186,887",14.12,"1,576,895",22.03,4.77,
13,LG생활건강,"1,571,000","40,000",+2.61%,"5,000","245,362","15,618",45.52,"57,644",35.20,20.32,
14,POSCO,"279,500","7,500",+2.76%,"5,000","243,687","87,187",50.97,"604,015",25.60,4.18,
15,현대모비스,"243,000",500,-0.21%,"5,000","230,983","95,055",43.37,"339,957",14.82,7.28,
16,SK텔레콤,"247,000","9,000",+3.78%,500,"199,442","80,746",33.88,"598,198",18.19,3.92,
17,KB금융,"47,100",700,+1.51%,"5,000","195,846","415,808",65.95,"1,853,037",5.75,8.92,
18,엔씨소프트,"888,000","10,000",+1.14%,500,"194,952","21,954",48.31,"75,228",34.75,14.72,
19,신한지주,"34,550",300,+0.88%,"5,000","178,460","516,527",57.84,"2,027,604",4.95,9.09,
20,SK,"253,000","10,000",+4.12%,200,"178,012","70,360",21.49,"589,154","1,067.51",4.31,
21,SK이노베이션,"188,000","2,500",-1.31%,"5,000","173,835","92,466",24.12,"1,263,463",-7.15,-0.20,
22,LG전자,"95,800",400,+0.42%,"5,000","156,775","163,648",36.15,"1,005,173",20.81,0.22,
23,한국전력,"23,800",0,0.00%,"5,000","152,787","641,964",17.08,"13,671,967",165.28,-3.42,
24,삼성생명,"76,000","3,300",+4.54%,500,"152,000","200,000",12.09,"1,085,318",15.26,3.26,
25,삼성에스디에스,"178,000","3,000",+1.71%,500,"137,732","77,378",12.11,"268,575",26.28,11.76,
26,SK바이오팜,"174,500","4,000",-2.24%,500,"136,657","78,313",4.15,"180,114",-158.64,-313.66,
27,LG,"77,900","2,100",+2.77%,"5,000","134,422","172,557",34.76,"642,589",11.01,5.87,
28,아모레퍼시픽,"216,000","2,000",+0.93%,500,"126,270","58,458",32.14,"401,621",347.27,5.36,
29,삼성전기,"166,000","2,000",+1.22%,"5,000","123,992","74,694",34.64,"754,697",34.01,10.18,
30,KT&G,"87,800","1,700",+1.97%,"5,000","120,543","137,292",40.68,"901,308",12.25,12.39,
31,넷마블,"128,500",500,+0.39%,100,"110,310","85,844",22.36,"272,760",52.05,3.54,
32,하나금융지주,"36,150",650,+1.83%,"5,000","108,538","300,242",64.71,"1,597,798",4.42,8.77,
33,롯데케미칼,"279,500","2,000",+0.72%,"5,000","95,800","34,275",26.73,"324,216",82.62,5.51,
34,삼성화재,"193,000","6,000",+3.21%,500,"91,433","47,375",44.32,"284,355",14.11,4.85,
35,한온시스템,"15,750",0,0.00%,100,"84,074","533,800",20.65,"1,387,664",59.89,14.98,
36,신풍제약,"157,000","33,500",-17.59%,500,"83,186","52,985",11.47,"7,053,887","4,361.11",0.80,
37,S-Oil,"73,300","1,300",+1.81%,"2,500","82,523","112,583",75.00,"693,960",-9.83,1.01,
38,한국조선해양,"109,500","7,000",+6.83%,"5,000","77,497","70,773",15.85,"921,464",362.58,1.40,
39,우리금융지주,"10,300",250,+2.49%,"5,000","74,394","722,268",25.31,"2,081,180",5.52,N/A,
40,한화솔루션,"46,300",100,+0.22%,"5,000","74,017","159,864",18.98,"2,188,136",-82.38,-4.02,
41,고려아연,"392,000","2,500",+0.64%,"5,000","73,970","18,870",23.86,"52,843",13.21,9.76,
42,기업은행,"9,520",100,+1.06%,"5,000","70,321","738,664",10.39,"2,602,833",4.86,7.36,
43,현대글로비스,"187,500","3,500",+1.90%,500,"70,312","37,500",35.85,"344,845",10.54,11.25,
44,포스코케미칼,"106,500",500,+0.47%,500,"64,952","60,988",7.50,"868,948",242.05,11.57,
45,미래에셋대우,"10,000",0,0.00%,"5,000","64,532","645,316",14.47,"2,387,674",10.45,7.56,
46,KT,"24,650",450,+1.86%,"5,000","64,364","261,112",43.83,"2,170,774",10.50,4.61,
47,빅히트,"180,500","1,000",-0.55%,500,"64,301","35,624",3.45,"142,247",N/A,56.47,
48,LG디스플레이,"16,650",0,0.00%,"5,000","59,576","357,816",23.22,"3,288,265",-2.42,-22.35,
49,CJ제일제당,"377,000","13,000",+3.57%,"5,000","56,754","15,054",23.56,"165,884",7.83,3.16,
50,현대제철,"41,100",500,+1.23%,"5,000","54,846","133,446",19.46,"1,490,984",-22.26,0.10,
51,KODEX 200,"37,225",320,+0.87%,0,"52,748","141,700",21.10,"9,714,460",N/A,N/A,
52,코웨이,"71,300","1,300",+1.86%,500,"52,619","73,800",60.58,"266,635",14.73,30.74,
53,LG유플러스,"11,900",300,+2.59%,"5,000","51,957","436,611",31.06,"3,592,916",6.56,6.30,
54,강원랜드,"23,950",250,+1.05%,500,"51,239","213,940",22.60,"973,009",-26.97,9.16,
55,한미사이언스,"75,900","3,100",+4.26%,500,"50,102","66,011",1.91,"911,367",338.84,4.73,
56,오리온,"126,000","4,500",+3.70%,500,"49,816","39,536",41.99,"197,207",18.20,14.24,
57,대한항공,"28,400",100,+0.35%,"5,000","49,476","174,210",12.69,"5,849,578",-6.48,-22.09,
58,한국타이어앤테크놀로지,"39,550",950,+2.46%,500,"48,993","123,875",38.26,"322,523",19.03,6.03,
59,아모레G,"58,400",600,+1.04%,500,"48,156","82,458",19.79,"272,010",206.36,4.12,
60,현대중공업지주,"296,500","17,000",+6.08%,"5,000","46,843","15,799",17.37,"129,566",-17.96,2.20,
61,유한양행,"67,700","1,600",+2.42%,"1,000","45,262","66,857",20.80,"1,057,674",24.94,2.43,
62,삼성중공업,"7,160",190,+2.73%,"5,000","45,108","630,000",14.90,"22,171,230",-3.61,-21.88,
63,HMM,"13,800",50,-0.36%,"5,000","45,088","326,726",6.47,"6,393,791",-44.52,-55.46,
64,SK케미칼,"383,000","4,500",-1.16%,"5,000","44,970","11,741",16.69,"141,681",17.48,1.51,
65,한국금융지주,"79,000","1,000",+1.28%,"5,000","44,024","55,726",30.06,"339,398",7.23,18.14,
66,이마트,"157,000","2,500",+1.62%,"5,000","43,765","27,876",31.67,"194,410",7.84,2.76,
67,현대건설,"38,900",550,+1.43%,"5,000","43,317","111,356",19.40,"1,676,666",18.97,6.30,
68,금호석유,"140,500","1,500",+1.08%,"5,000","42,807","30,468",28.10,"471,930",12.02,11.84,
69,녹십자,"362,500","4,000",-1.09%,"5,000","42,364","11,687",19.07,"302,041",97.24,-0.35,
70,한미약품,"355,000","3,000",+0.85%,"2,500","42,043","11,843",14.05,"148,927","-3,380.95",7.30,
71,삼성카드,"34,450",200,+0.58%,"5,000","39,913","115,859",10.18,"139,049",9.69,5.04,
72,한진칼,"65,800",100,-0.15%,"2,500","38,954","59,200",17.24,"244,402",-10.85,-17.56,
73,LG이노텍,"164,500","4,500",-2.66%,"5,000","38,932","23,667",34.35,"262,635",29.82,4.73,
74,삼성증권,"42,400","1,000",+2.42%,"5,000","37,863","89,300",24.99,"790,511",8.05,8.15,
75,맥쿼리인프라,"10,800",0,0.00%,0,"37,697","349,044",14.32,"694,600",N/A,N/A,
76,두산중공업,"14,750",150,+1.03%,"5,000","37,338","253,141",12.52,"3,510,461",-3.18,-14.73,
77,롯데지주,"35,500","1,000",+2.90%,200,"37,243","104,909",11.27,"434,498",-5.19,-5.21,
78,CJ대한통운,"161,000",500,-0.31%,"5,000","36,728","22,812",20.95,"74,942",29.02,1.41,
79,쌍용양회,"7,250",20,+0.28%,100,"36,530","503,860",3.02,"4,526,931",29.12,7.02,
80,GS,"38,400",750,+1.99%,"5,000","35,680","92,915",19.35,"555,226",-41.65,6.26,
81,NH투자증권,"12,200",350,+2.95%,"5,000","34,332","281,409",14.60,"1,319,525",5.93,9.12,
82,호텔신라,"85,000",500,+0.59%,"5,000","33,361","39,248",21.51,"916,111",-25.80,20.16,
83,현대차2우B,"90,800",700,+0.78%,"5,000","33,129","36,485",60.56,"160,685",21.70,N/A,
84,SKC,"87,500",300,+0.34%,"5,000","32,843","37,535",7.75,"183,052",38.84,3.86,
